Sorkérdés;A;B;C;D;Válasz;Kategória
Állítsák időrendi sorrendbe a következő olimpiai játékokat!;müncheni olimpia;tokiói olimpia;római olimpia;mexikói olimpia;CBDA;SPORT
Állítsák magasság szerint sorrendbe a felsorolt magyarországi hegycsúcsokat! Kezdjék a legkisebbel!;Galyatető;Somló;Csóványos;Gellért-hegy;DBCA;FÖLDRAJZ
Milyen sorrendben követték egymást a felsorolt amerikai elnökök?;Jimmy Carter;Richard Nixon;Gerald Ford;Ronald Reagan;BCAD;TÖRTÉNELEM
Tegyék az alábbi épületeket felépítésük szerinti sorrendbe,kezdjék a legrégebbivel!;Pantheon;Empire State Building;Notre-Dame;Eiffel-torony;ACDB;ÉPÍTÉSZET
Tegyék uralkodásuk időrendjébe az alábbi magyar királyokat!;Károly Róbert;Mátyás;IV. Béla;I. László;DCAB;TÖRTÉNELEM
Állítsák keletkezési sorrendbe az alábbi vallásokat! Kezdjék a legrégebbivel!;buddhizmus;iszlám;katolicizmus;protestantizmus;ACBD;VALLÁS
Tegyék a találmányokat feltalálásuk időrendje szerinti növekvő sorrendbe!;villámhárító;radar;fonográf;könyvnyomtatás;DACB;TECHNIKA
Állítsák sorrendbe a felsorolt fákat magasságuk alapján! Kezdjék a legmagasabbal!;platánfa;jegenyefenyő;mamutfenyő;diófa;CBAD;BIOLÓGIA
Tegyék a zenés filmeket forgatásuk időpontja szerinti sorrendbe! Kezdjék a legkorábbival!;West Side Story;Kabaré;Ének az esőben;Hair;CABD;FILM
Állítsák sorrendbe az alábbi állatokat lábuk száma szerint! Kezdjék a legkevesebbel!;madárpók;katicabogár;ökörszem;dromedár;CDBA;BIOLÓGIA
Tegye az alábbi színészeket születésük időrendjébe!;Latabár Kálmán;Koltai Róbert;Charlie Chaplin;Hugh Grant;CABD;FILM
Tegyék az alábbi növényeket időrendbe virágzási idejük kezdete szerint!;gyöngyvirág;jácint;petúnia;kerti őszirózsa;BACD;BIOLÓGIA
Állítsák sorrendbe a következő szállítóeszközöket kerekeik száma alapján!;szekér;talicska;riksa;kamion;BCAD;TECHNIKA
Állítsák sorrendbe az alábbi országokat lakosságuk száma szerint!;Izrael;Mexikó;Belgium;India;ACBD;ORSZÁGOK
Állítsák időrendi sorrendbe az alábbi Habsburg-házi uralkodókat!;II. József;IV. Károly;I. Ferdinánd;Mária Terézia;CDAB;TÖRTÉNELEM
Állítsák sorba az ógörög ábécé betűit az elejétől kezdve!;omega;alfa;pszi;gamma;BDCA;NYELV
Állítsa időrendbe az alábbi festőket! Kezdje a legrégebbivel!;Van Gogh;Picasso;Goya;Giotto;DCAB;KÉPZŐMŰVÉSZET
Állítsák időrendbe a II. világháború eseményeit!;az atombomba bevetése;Párizs megszállása;Lengyelország lerohanása;a normandiai partraszállás;CBDA;TÖRTÉNELEM
Állítsák időrendi sorrendbe az alábbi csatákat!;muhi csata;mohácsi csata;rozgonyi csata;pákozdi csata;ACBD;TÖRTÉNELEM
Tegyék a magyar színésznőket pályakezdésük időrendjébe!;Laborfalvi Róza;Jászai Mari;Gryllus Dorka;Honthy Hanna;ABDC;FILM
Milyen sorrendben követik egymást az egyes úszásnemek a vegyesúszásban?;hátúszás;mellúszás;pillangóúszás;gyorsúszás;CABD;SPORT
Tegyék a találmányokat feltalálásuk időrendjébe!;dinamit;mikroprocesszor;plexiüveg;vízvezetékrendszer;DACB;TECHNIKA
Állítsák sorrendbe a városokat az Egyenlítőtől való távolságuk szerint!;Helsinki;Singapore;Mexikóváros;Prága;BCDA;FÖLDRAJZ
Tegye a drámaírókat születésük szerint időrendbe!;Moliére;Shakespeare;Csehov;Szophoklész;DBAC;IRODALOM
Tegye az épületeket építésük kezdete szerint növekvő sorrendbe!;visegrádi királyi palota;jáki templom;fertődi Esterhazy-kastély;szegedi dóm;BACD;ÉPÍTÉSZET
Állítsák uralkodásuk időrendjébe az alábbi híres uralkodónőket!;Viktória;Mária Terézia;I. Erzsébet;Kleopátra;DCBA;TÖRTÉNELEM
Tegyék a Duna folyásiránya szerint megfelelő sorrendbe a városokat!;Győr;Mohács;Szentendre;Visegrád;ADCB;FÖLDRAJZ
Állítsák időrendi sorrendbe az alábbi nyári olimpiai játékokat! Kezdjék a legkorábbival!;Barcelona;Amszterdam;Helsinki;Tokió;BCDA;SPORT
Állítsák időrendi sorrendbe az alábbi művészeti irányzatokat! Kezdjék a legkorábbival!;szürrealizmus;posztmodern;impresszionizmus;rokokó;DCAB;MŰVÉSZET
Tegyék értékük növekvő sorrendjébe az alábbi római számokat!;CM;CD;XC;C;CDBA;ÁLTALÁNOS
Tegyék születésük időrendjébe az alábbi középkori hírességeket!;Nagy Károly;Szent István;Kolumbusz Kristóf;Marco Polo;ABDC;TÖRTÉNELEM
Tegyék első világbajnoki aranyérmük elnyerésének időrendjébe a Forma-1 pilótáit!;Niki Lauda;Alain Prost;Jackie Stewart;Mika Hakkinen;CABD;SPORT
Tegyék az Oscar-díjas filmeket díjazásuk időrendjébe! Kezdjék a legrégebbivel!;Esőember;Ben Hur;Forrest Gump;Casablanca;DBAC;FILM
Tegyék sorrendbe fejtetőtől talpig a ruhadarabokat viselésük helye szerint!;kucsma;rokolya;saru;dolmány;ADBC;ÁLTALÁNOS
Állítsák a nemzetközi szervezeteket megalakulásuk időrendjébe!;ENSZ;NATO;NOB;EU;CABD;ÁLTALÁNOS
Állítsák keletkezési sorrendbe az alábbi magyar színpadi műveket! Kezdjék a legrégebbivel!;Bánk bán;Macskajáték;Az ember tragédiája;A néma levente;ACDB;IRODALOM
Tegyék növekvő sorrendbe a súlymértékeket!;font;tonna;mázsa;gramm;DACB;TUDOMÁNY
Állítsák emelkedő sorrendbe egy oktávon belül a C-dúr skála hangjait!;e;a;d;h;CABD;OPERA
Tegyék az ételtípusokat hazai tálalási sorrendjükbe! Kezdjék az elsőként felkínálandóval!;leves;vegyes ízelítő;húsétel;desszert;BACD;KONYHA
Tegyék az alábbi személyeket születési idejük szerinti növekvő sorrendbe!;Leonardo da Vinci;Alfred Nobel;Arkhimédész;James Watt;CADB;TÖRTÉNELEM
Tegyék észak-déli sorrendbe a történelmi városokat! Kezdjék a legdélibbel!;Eger;Mohács;Kassa;Nándorfehérvár;DBAC;FÖLDRAJZ
Állítsák feltalálásuk sorrendjébe az alábbi találmányokat! Kezdjék a legrégebbivel!;telefon;televízió;gőzmozdony;távírókészülék;CDAB;TECHNIKA
Állítsák sorrendbe a városokat Budapesttől mért távolságuk szerint! Kezdjék a legközelebbivel!;Nyíregyháza;Székesfehérvár;Vác;Szekszárd;CBDA;FÖLDRAJZ
Tegyék időrendbe a négyütemű belső égésű motor működési ütemét!;sűrítés;szívás;munkaütem;kipufogás;BACD;TECHNIKA
Állítsák megalakulásuk szerinti időrendbe a magyar könnyűzenei együtteseket! Kezdjék a legkorábbival!;Omega;Ámokfutók;Edda Művek;Pa-Dö-Dö;ACDB;ZENE
Tegyék a közlekedési eszközöket használatuk kezdetének időrendjébe!;űrrepülőgép;földalatti vasút;léghajó;harci szekér;DCBA;TECHNIKA
Állítsák a városokat alapításuk időrendjébe!;Szentpétervár;Brasília;Madrid;Róma;DCAB;TÖRTÉNELEM
Állítsák a madarakat szárnyaik fesztávolságának növekvő sorrendjébe!;szirti sas;ökörszem;vörösbegy;macskabagoly;BCDA;BIOLÓGIA
Tegyék az alábbi építményeket építésük időrendje szerinti növekvő sorrendbe!;Kheopsz piramis;Hagia Sophia;a londoni Szent Pál-katedrális;Colosseum;ADBC;ÉPÍTÉSZET
Tegyék a filmvígjátékokat bemutatásuk időrendjébe! Kezdjék a legrégebbivel!;Furcsa pár;Micsoda nő!;Van,aki forrón szereti;Aranyláz;DCAB;FILM
Tegyék az alábbi táncokat európai elterjedtségük időrendjébe!;bécsikeringő;charleston;break;twist;ABDC;ÁLTALÁNOS
Állítsák sorba Az ember tragédiája alábbi színeit az előadás időrendjében!;a falanszter;a párizsi szín;az egyiptomi szín;a konstantinápolyi szín;CDBA;IRODALOM
Állítsák időrendi sorrendbe a következő Árpád-házi királyokat!;III. András;IV. Béla;Szent István;Könyves Kálmán;CDBA;TÖRTÉNELEM
Állítsák időrendi sorrendbe a felsorolt háborúkat! Kezdjék a legkorábbival!;a százéves háború;a peloponnészoszi háború;a harmincéves háború;az első világháború;BACD;TÖRTÉNELEM
Állítsák bemutatásuk sorrendjébe az alábbi magyar filmeket! Kezdjék a legkorábbival!;Körhinta;Halálos tavasz;A tizedes meg a többiek;Redl ezredes;BACD;FILM
Állítsák időrendbe a Biblia eseményeit!;a bűnbeesés;Ádám teremtése;Jerikó elfoglalása;Salamon ítélete;BACD;VALLÁS
Állítsák irodalmi megjelenítésük időrendi sorrendjébe az alábbi múzsákat!;Szendrey Júlia;Gyarmati Fanni;Vajda Julianna (Lilla);Boncza Berta (Csinszka);CADB;IRODALOM
Tegyék az építményeket építésük időrendjébe! Kezdjék a legrégebbivel!;Stonehenge;a sydneyi Opera;Tádzs Mahal;Golden Gate híd;ACDB;ÉPÍTÉSZET
Tegyék a nagylemezeket megjelenésük időrendjébe!;Hotel Menthol;Ezek a fiatalok;Rock and roller;Rapeta;BCAD;ZENE
Tegyék időrendbe a török ellen vívott háborúk alábbi eseményeit!;a mohácsi csata;a vasvári béke;a nándorfehérvári győzelem;Buda török kézre kerül;CADB;TÖRTÉNELEM
Állítsák növekvő sorrendbe az alábbi országokat területük nagysága szerint!;Brazília;Franciaország;Vietnam;Monaco;DCBA;FÖLDRAJZ
Állítsák bemutatásuk időrendjébe az alábbi operákat! Kezdjék a legkorábbival!;A kékszakállú herceg vára;Don Giovanni;Orfeo;Traviata;CBDA;OPERA
Tegyék beiktatásuk időrendjébe az alábbi magyar miniszterelnököket!;Nagy Imre;Andrássy Gyula;Tildy Zoltán;Károlyi Mihály;BDCA;TÖRTÉNELEM
Tegyék a találmányokat feltalálásuk időrendjébe! Kezdjék a legrégebbivel!;Otto-motor;dízelmotor;küllős kerék;sugárhajtómű;CABD;TECHNIKA
Tegyék időrendbe a Petőfi Sándor életével kapcsolatos eseményeket!;nászút Koltón;a segesvári csata;a pesti forradalom;pápai diákidők;DACB;IRODALOM
Állítsák növekvő sorrendbe a következő római számokat!;D ;V ;X ;L;BCDA;ÁLTALÁNOS
Tegyék a magyar filmvígjátékokat készítésük időrendjébe! Kezdjék a legrégebbivel!;Mágnás Miska;Meseautó;A tanú;Zimmer Feri;BACD;FILM
Tegyék időrendbe a XIX. századi magyar történelem jeles eseményeit!;kiegyezés;szabadságharc;Széchenyi halála;Napóleon Győrben;DBCA;TÖRTÉNELEM
Állítsák olimpiai aranyérmük elnyerésének időrendjébe a felsorolt ökölvívóinkat! Kezdjék a legkorábbival!;Énekes István;Kovács István;Papp László;Gedó György;ACDB;SPORT
Tegyék a feltalálókat születésük szerint időrendbe!;Rudolf Diesel;Eötvös Loránd;Gutenberg;Gábor Dénes;CBAD;TECHNIKA
Tegyék beiktatásuk időrendjébe az amerikai elnököket!;T. Jefferson;F. D. Rossevelt;G. Bush;J. F. Kennedy;ABDC;TÖRTÉNELEM
Tegyék előfordulásuk időrendjébe a Nemzeti dal idézeteit!;Sehonnai bitang...;Talpra magyar...;Unokáink leborulnak...;Rabok voltunk...;BDAC;IRODALOM
Állítsák a naptól való távolság sorrendjébe az alábbi bolygókat! Kezdjék a legközelebbivel!;Föld;Vénusz;Merkúr;Mars;CBAD;TUDOMÁNY
Állítsák időrendi sorrendbe az alábbi magyar futball-kapusokat! Kezdjék a legkorábbival!;Géczi István;Király Gábor;Grosics Gyula;Zsák Károly;DCAB;SPORT
Tegyék a zenés filmeket bemutatásuk időrendjébe!;Szombat esti láz;Egy nehéz nap éjszakája;Óz,a csodák csodája;Flashdance;CBAD;FILM
Állítsák időrendi sorrendbe az alábbi magyar könnyűzenei slágereket! Kezdjék a legkorábbival!;Trombitás Frédi;Hamvadó cigarettavég;A Sexepilem;Kölyköd voltam;BADC;ZENE
Állítsák sorrendbe az alábbi katonai rendfokozatokat! Kezdjék a legalacsonyabbal!;hadnagy;ezredes;százados;őrmester;DACB;ÁLTALÁNOS
Állítsák a magyar megyeszékhelyeket észak-déli sorrendbe!;Kecskemét;Pécs;Veszprém;Győr;DCAB;FÖLDRAJZ
Tegyék születésük időrendjébe az ókori hírességeket!;Julius Caesar;Nero;Nagy Sándor;Tutankhamon;DCAB;TÖRTÉNELEM
Állítsák időrendi sorrendbe a következő magyar filmeket! Kezdjék a legkorábbival!;Halálos tavasz;Körhinta;Mephisto;Valahol Európában;ADBC;FILM
Állítsák időrendi sorrendbe az alábbi aranylabdás futballistákat! Kezdjék a legkorábbival!;Alfredo di Stefano;Michel Platini;Albert Flórián;Zinedine Zidane;ACBD;SPORT
Állítsák az alábbi szerzőket irodalmi Nobel-díjuk elnyerésének időrendjébe!;Kipling;Grass;Thomas Mann;Márquez;ACDB;IRODALOM
Állítsák időrendi sorrendbe az alábbi hadvezéreket! Kezdjék a legrégebbivel!;Kutuzov;Miltiadész;Wallenstein;Montgomery;BCAD;TÖRTÉNELEM
Tegyék keletkezésük sorrendjébe az alábbi dalokat! Kezdjék a legkorábbival!;Kossuth-nóta;Szomorú vasárnap;Marseillaise;Bye-bye Szása!;CABD;ZENE
Tegyék uralkodásuk időrendjébe az alábbi híres rómaiakat! Kezdjék a legkorábbival!;Julius Caesar;Néro;Augustus;Constantinus;ACBD;TÖRTÉNELEM
Állítsák időrendbe a felsorolt operákat! Kezdjék a legrégebbivel!;Traviata;Orfeo;A kékszakállú herceg vára;A varázsfuvola;BDAC;OPERA
Állítsák naptár szerinti időrendi sorrendbe az alábbi keresztény ünnepeket! Kezdjék a legkorábbival!;advent;pünkösd;vízkereszt;húsvét;CDBA;VALLÁS
